,ga.dateHourMinute,ga.sessionDurationBucket,ga.browser.encoded,ga.operatingSystem.encoded,ga.operatingSystemVersion.encoded,ga.language.encoded,ga.DeviceInfo.encoded,ga.sessionsWithEvent,Success,month,date,hour,minute,time
118,201803301125,166,A6,B6,C70,D77,E171,1,True,3,30,11,25,1125
119,201804032358,1,A4,B6,C73,D31,E171,1,False,4,3,23,58,2358
120,201804041504,178,A4,B6,C70,D54,E171,0,True,4,4,15,4,1504
121,201804061839,98,A4,B6,C73,D54,E171,0,True,4,6,18,39,1839
122,201804061849,301,A4,B6,C71,D54,E171,1,True,4,6,18,49,1849
123,201804061853,140,A4,B6,C73,D77,E171,0,True,4,6,18,53,1853
124,201804061943,54,A4,B6,C71,D31,E171,0,True,4,6,19,43,1943
125,201804062120,188,A11,B6,C72,D13,E171,0,False,4,6,21,20,2120
126,201804071707,38,A11,B6,C73,D54,E171,1,True,4,7,17,7,1707
127,201804080059,2040,A6,B6,C73,D31,E171,1,True,4,8,0,59,59
128,201804081221,1,A11,B6,C73,D54,E171,1,False,4,8,12,21,1221
129,201804081356,48,A10,B6,C73,D25,E171,1,False,4,8,13,56,1356
130,201804081357,48,A10,B6,C73,D25,E171,0,False,4,8,13,57,1357
131,201804081829,343,A4,B6,C73,D77,E171,0,False,4,8,18,29,1829
132,201804091645,439,A11,B6,C72,D77,E171,1,False,4,9,16,45,1645
133,201804101035,1,A10,B6,C72,D77,E171,1,False,4,10,10,35,1035
134,201804101115,505,A4,B6,C73,D77,E171,1,False,4,10,11,15,1115
135,201804111304,1791,A4,B6,C73,D25,E171,0,True,4,11,13,4,1304
136,201804111436,7,A4,B6,C73,D77,E171,1,False,4,11,14,36,1436
137,201804111611,1540,A4,B6,C73,D77,E171,0,False,4,11,16,11,1611
138,201804111611,464,A4,B6,C73,D54,E171,0,True,4,11,16,11,1611
139,201804111612,1540,A4,B6,C73,D77,E171,0,False,4,11,16,12,1612
140,201804111612,464,A4,B6,C73,D54,E171,0,True,4,11,16,12,1612
141,201804120706,244,A4,B6,C73,D77,E171,0,True,4,12,7,6,706
142,201804121327,657,A11,B6,C72,D77,E171,0,False,4,12,13,27,1327
143,201804121328,130,A6,B6,C72,D54,E171,1,True,4,12,13,28,1328
144,201804130918,87,A4,B6,C73,D77,E171,0,False,4,13,9,18,918
145,201804131410,59,A11,B6,C73,D77,E171,1,False,4,13,14,10,1410
146,201804131411,59,A11,B6,C73,D77,E171,0,False,4,13,14,11,1411
147,201804131632,188,A11,B6,C71,D54,E171,0,True,4,13,16,32,1632
148,201804132117,2,A4,B6,C73,D31,E171,1,False,4,13,21,17,2117
149,201804132209,310,A4,B6,C72,D54,E171,1,True,4,13,22,9,2209
150,201804132259,1,A11,B6,C73,D77,E171,1,False,4,13,22,59,2259
151,201804141406,85,A6,B6,C71,D77,E171,0,True,4,14,14,6,1406
152,201804171056,638,A6,B6,C71,D77,E171,0,True,4,17,10,56,1056
153,201804171822,92,A4,B6,C73,D31,E171,1,False,4,17,18,22,1822
154,201804191036,15,A4,B6,C72,D77,E171,1,False,4,19,10,36,1036
155,201804191056,41,A4,B6,C75,D77,E171,1,True,4,19,10,56,1056
156,201804211325,116,A4,B6,C71,D77,E171,0,True,4,21,13,25,1325
157,201804211654,225,A4,B6,C77,D54,E171,1,True,4,21,16,54,1654
158,201804221056,270,A4,B6,C70,D77,E171,0,True,4,22,10,56,1056
159,201804221058,270,A4,B6,C70,D77,E171,0,True,4,22,10,58,1058
160,201804231952,219,A4,B6,C73,D54,E171,1,True,4,23,19,52,1952
161,201804241732,41,A11,B6,C73,D31,E171,1,False,4,24,17,32,1732
162,201804252057,915,A4,B6,C73,D53,E171,0,True,4,25,20,57,2057
163,201804252111,915,A4,B6,C73,D53,E171,0,True,4,25,21,11,2111
164,201804252217,2497,A6,B6,C70,D77,E171,0,False,4,25,22,17,2217
165,201804262024,1,A4,B6,C70,D77,E171,1,False,4,26,20,24,2024
166,201804280733,30,A11,B6,C71,D54,E171,0,False,4,28,7,33,733
167,201804281019,105,A4,B6,C75,D77,E171,1,True,4,28,10,19,1019
168,201804281738,4,A4,B6,C72,D77,E171,1,False,4,28,17,38,1738
169,201804281748,76,A11,B6,C73,D54,E171,1,True,4,28,17,48,1748
170,201804291928,244,A4,B6,C73,D54,E171,0,True,4,29,19,28,1928
171,201805012130,141,A4,B6,C70,D13,E171,1,True,5,1,21,30,2130
172,201805020622,341,A4,B6,C73,D77,E171,1,True,5,2,6,22,622
173,201805042049,92,A4,B6,C75,D54,E171,0,True,5,4,20,49,2049
174,201805062047,6162,A4,B6,C71,D77,E171,0,False,5,6,20,47,2047
175,201805081434,20,A6,B6,C73,D31,E171,1,False,5,8,14,34,1434
176,201805081452,297,A4,B6,C73,D77,E171,0,False,5,8,14,52,1452
177,201805081515,549,A4,B6,C73,D73,E171,0,False,5,8,15,15,1515
178,201805081835,446,A4,B6,C73,D54,E171,0,False,5,8,18,35,1835
179,201805091053,487,A4,B6,C73,D54,E171,1,True,5,9,10,53,1053
180,201805100827,124,A6,B6,C73,D31,E171,0,True,5,10,8,27,827
181,201805101324,274,A4,B6,C71,D54,E171,1,True,5,10,13,24,1324
182,201805101533,48,A4,B6,C71,D31,E171,1,True,5,10,15,33,1533
183,201805121543,705,A4,B6,C73,D31,E171,1,False,5,12,15,43,1543
184,201805121807,127,A11,B6,C73,D54,E171,0,True,5,12,18,7,1807
185,201805122026,42,A11,B6,C73,D54,E171,1,True,5,12,20,26,2026
186,201805130834,106,A4,B6,C73,D13,E171,1,True,5,13,8,34,834
187,201805131824,67,A4,B6,C73,D77,E171,1,False,5,13,18,24,1824
188,201805131930,110,A4,B6,C71,D77,E171,0,False,5,13,19,30,1930
189,201805132001,448,A11,B6,C71,D54,E171,0,True,5,13,20,1,2001
190,201805151702,152,A4,B6,C73,D25,E171,0,True,5,15,17,2,1702
191,201806011750,290,A4,B6,C73,D31,E171,0,True,6,1,17,50,1750
192,201806011815,494,A4,B6,C73,D31,E171,0,True,6,1,18,15,1815
193,201806011932,84,A4,B6,C76,D54,E171,0,True,6,1,19,32,1932
194,201806031356,73,A11,B6,C71,D77,E171,0,True,6,3,13,56,1356
195,201806051920,35,A11,B6,C71,D54,E171,0,True,6,5,19,20,1920
196,201806052106,103,A4,B6,C73,D54,E171,1,False,6,5,21,6,2106
197,201806052107,103,A4,B6,C73,D54,E171,0,False,6,5,21,7,2107
198,201806072236,436,A4,B6,C71,D69,E171,0,True,6,7,22,36,2236
199,201806181109,487,A4,B6,C73,D25,E171,0,False,6,18,11,9,1109
200,201806190049,106,A4,B6,C70,D54,E171,0,True,6,19,0,49,49
201,201806191048,94,A4,B6,C70,D77,E171,1,True,6,19,10,48,1048
202,201806181034,356,A4,B2,C37,D77,E209,0,True,6,18,10,34,1034
203,201804091632,121,A4,B2,C37,D77,E211,1,False,4,9,16,32,1632
204,201806120846,355,A13,B2,C42,D54,E222,0,True,6,12,8,46,846
205,201805300926,1,A13,B2,C42,D77,E223,1,False,5,30,9,26,926
206,201805311458,4,A13,B2,C44,D77,E223,1,False,5,31,14,58,1458
207,201806050933,359,A13,B2,C44,D77,E223,0,False,6,5,9,33,933
208,201805282128,64,A13,B2,C49,D77,E227,0,False,5,28,21,28,2128
209,201805291629,140,A4,B2,C49,D54,E227,0,False,5,29,16,29,1629
210,201806111104,61,A13,B2,C44,D77,E227,0,False,6,11,11,4,1104
211,201803261902,291,A13,B2,C42,D54,E227,1,True,3,26,19,2,1902
212,201803261903,291,A13,B2,C42,D54,E227,0,True,3,26,19,3,1903
213,201804071739,251,A13,B2,C44,D54,E227,0,True,4,7,17,39,1739
214,201804071740,251,A13,B2,C44,D54,E227,0,True,4,7,17,40,1740
215,201806161945,228,A13,B2,C49,D54,E227,0,True,6,16,19,45,1945
216,201806201902,142,A13,B2,C49,D77,E227,0,True,6,20,19,2,1902
217,201806201903,142,A13,B2,C49,D77,E227,0,True,6,20,19,3,1903
218,201806172110,138,A4,B2,C42,D77,E234,1,True,6,17,21,10,2110
219,201805211446,2518,A13,B2,C44,D77,E235,1,False,5,21,14,46,1446
220,201805211447,2518,A13,B2,C44,D77,E235,0,False,5,21,14,47,1447
221,201804091057,171,A13,B2,C44,D77,E247,0,True,4,9,10,57,1057
222,201804192105,25,A4,B2,C44,D54,E247,1,True,4,19,21,5,2105
223,201805272145,79,A13,B2,C44,D54,E247,0,True,5,27,21,45,2145
224,201803241904,129,A13,B2,C44,D54,E251,0,True,3,24,19,4,1904
225,201803251258,93,A3,B2,C44,D77,E251,0,True,3,25,12,58,1258
226,201804051716,337,A13,B2,C44,D54,E251,0,True,4,5,17,16,1716
227,201804061012,205,A4,B2,C44,D54,E251,0,True,4,6,10,12,1012
228,201804061925,295,A13,B2,C44,D77,E251,0,True,4,6,19,25,1925
229,201804082257,516,A4,B2,C44,D77,E251,0,True,4,8,22,57,2257
230,201804120033,106,A4,B2,C44,D31,E251,1,True,4,12,0,33,33
231,201804200351,5,A13,B2,C42,D77,E253,1,False,4,20,3,51,351
232,201805272250,2,A13,B2,C44,D67,E253,1,False,5,27,22,50,2250
233,201806031933,1,A13,B2,C49,D13,E253,1,False,6,3,19,33,1933
234,201806141710,2,A3,B2,C49,D31,E253,1,False,6,14,17,10,1710
235,201806210009,4,A4,B2,C49,D26,E253,1,False,6,21,0,9,9
236,201803240014,3,A4,B2,C49,D36,E255,1,False,3,24,0,14,14
237,201805031955,2,A4,B2,C49,D18,E255,1,False,5,3,19,55,1955
238,201805111143,3,A4,B2,C49,D3,E255,1,False,5,11,11,43,1143
239,201804042013,20,A4,B2,C44,D41,E255,1,True,4,4,20,13,2013
240,201804041944,3,A3,B2,C44,D77,E258,1,False,4,4,19,44,1944
241,201804260109,1,A4,B2,C44,D32,E258,1,False,4,26,1,9,109
242,201804281737,1,A3,B2,C44,D31,E258,1,False,4,28,17,37,1737
243,201805112052,1,A4,B2,C49,D63,E258,1,False,5,11,20,52,2052
244,201806142007,39,A13,B2,C49,D31,E260,1,False,6,14,20,7,2007
245,201806152356,1,A4,B2,C49,D53,E261,1,False,6,15,23,56,2356
246,201806171323,2,A4,B2,C40,D54,E264,1,False,6,17,13,23,1323
247,201806141908,2,A4,B2,C42,D34,E271,1,False,6,14,19,8,1908
248,201805191323,10,A4,B2,C44,D31,E272,1,False,5,19,13,23,1323
249,201804281705,3,A4,B2,C44,D77,E278,1,False,4,28,17,5,1705
250,201805270910,2,A2,B2,C32,D77,E287,1,False,5,27,9,10,910
251,201806102330,2,A4,B2,C34,D77,E288,1,False,6,10,23,30,2330
252,201803161401,1,A4,B2,C34,D77,E289,1,False,3,16,14,1,1401
253,201806081345,3,A3,B2,C42,D54,E297,1,False,6,8,13,45,1345
254,201804230916,1,A13,B2,C42,D77,E301,1,False,4,23,9,16,916
255,201805131031,1,A4,B2,C44,D77,E303,1,False,5,13,10,31,1031
256,201803272323,2,A4,B2,C44,D54,E310,1,False,3,27,23,23,2323
257,201805222104,1,A4,B2,C44,D25,E310,1,False,5,22,21,4,2104
258,201806192041,1,A10,B2,C45,D77,E327,1,False,6,19,20,41,2041
259,201805072317,5,A4,B2,C45,D44,E330,1,False,5,7,23,17,2317
260,201806181641,2,A13,B2,C45,D13,E331,1,False,6,18,16,41,1641
261,201803171405,1,A4,B2,C41,D54,E333,1,False,3,17,14,5,1405
262,201805052059,1,A3,B2,C49,D54,E334,1,False,5,5,20,59,2059
263,201805091016,2,A4,B2,C45,D77,E336,1,False,5,9,10,16,1016
264,201806112115,3,A4,B2,C49,D25,E336,1,False,6,11,21,15,2115
265,201804080453,18,A4,B2,C49,D31,E337,1,False,4,8,4,53,453
266,201806011043,19,A4,B2,C49,D73,E337,1,False,6,1,10,43,1043
267,201806101655,5,A3,B2,C45,D77,E337,1,False,6,10,16,55,1655
268,201803211126,1,A4,B2,C45,D77,E342,1,False,3,21,11,26,1126
269,201804142052,2,A10,B2,C49,D54,E342,1,False,4,14,20,52,2052
270,201804250130,2,A4,B2,C49,D73,E342,1,False,4,25,1,30,130
271,201805012255,4,A3,B2,C49,D77,E342,1,False,5,1,22,55,2255
272,201804100457,2,A4,B2,C38,D77,E349,1,False,4,10,4,57,457
273,201805272142,3,A4,B2,C42,D77,E353,1,False,5,27,21,42,2142
274,201806131419,1,A13,B7,C30,D9,E358,1,False,6,13,14,19,1419
275,201803160634,2,A6,B8,C43,D17,E359,1,False,3,16,6,34,634
276,201803261942,3,A6,B8,C43,D53,E359,1,False,3,26,19,42,1942
277,201803301008,1,A6,B8,C43,D59,E359,1,False,3,30,10,8,1008
278,201804011146,1,A4,B8,C2,D10,E359,1,False,4,1,11,46,1146
279,201804051239,214,A4,B8,C2,D31,E359,0,False,4,5,12,39,1239
280,201804051243,2,A7,B8,C2,D54,E359,1,False,4,5,12,43,1243
281,201804051300,190,A4,B8,C2,D31,E359,0,True,4,5,13,0,1300
282,201804051306,216,A5,B8,C2,D77,E359,0,False,4,5,13,6,1306
283,201804051308,216,A5,B8,C2,D77,E359,0,False,4,5,13,8,1308
284,201804051311,7,A4,B8,C2,D77,E359,1,False,4,5,13,11,1311
285,201804051315,4,A6,B8,C50,D77,E359,1,False,4,5,13,15,1315
286,201804051328,129,A5,B8,C2,D24,E359,0,False,4,5,13,28,1328
287,201804051407,104,A4,B8,C2,D54,E359,0,True,4,5,14,7,1407
288,201804051410,83,A5,B8,C2,D54,E359,0,True,4,5,14,10,1410
289,201804051417,1,A6,B8,C43,D54,E359,1,False,4,5,14,17,1417
290,201804051426,78,A4,B8,C43,D77,E359,0,False,4,5,14,26,1426
291,201804051433,119,A4,B8,C2,D77,E359,0,True,4,5,14,33,1433
292,201804051450,388,A4,B8,C2,D54,E359,0,True,4,5,14,50,1450
293,201804051451,388,A4,B8,C2,D54,E359,0,True,4,5,14,51,1451
294,201804051501,317,A4,B8,C2,D73,E359,1,True,4,5,15,1,1501
295,201804051503,317,A4,B8,C2,D73,E359,0,True,4,5,15,3,1503
296,201804051506,317,A4,B8,C2,D73,E359,0,True,4,5,15,6,1506
297,201804051508,767,A6,B8,C50,D77,E359,1,False,4,5,15,8,1508
298,201804051508,1317,A4,B8,C2,D77,E359,1,True,4,5,15,8,1508
299,201804051508,150,A7,B8,C2,D31,E359,1,True,4,5,15,8,1508
300,201804051510,1317,A4,B8,C2,D77,E359,0,True,4,5,15,10,1510
301,201804051510,261,A5,B8,C2,D54,E359,1,True,4,5,15,10,1510
302,201804051511,136,A4,B8,C2,D54,E359,1,False,4,5,15,11,1511
303,201804051511,261,A5,B8,C2,D54,E359,0,True,4,5,15,11,1511
304,201804051512,36,A4,B8,C2,D77,E359,1,False,4,5,15,12,1512
305,201804051513,136,A4,B8,C2,D54,E359,0,False,4,5,15,13,1513
306,201804051513,36,A4,B8,C2,D77,E359,0,False,4,5,15,13,1513
307,201804051513,261,A5,B8,C2,D54,E359,0,True,4,5,15,13,1513
308,201804051516,1317,A4,B8,C2,D77,E359,0,True,4,5,15,16,1516
309,201804051518,1317,A4,B8,C2,D77,E359,0,True,4,5,15,18,1518
310,201804051521,767,A6,B8,C50,D77,E359,0,False,4,5,15,21,1521
311,201804051522,1317,A4,B8,C2,D77,E359,0,True,4,5,15,22,1522
312,201804051523,116,A4,B8,C2,D77,E359,0,False,4,5,15,23,1523
313,201804051523,1317,A4,B8,C2,D77,E359,0,True,4,5,15,23,1523
314,201804051524,1317,A4,B8,C2,D77,E359,0,True,4,5,15,24,1524
315,201804051525,1317,A4,B8,C2,D77,E359,0,True,4,5,15,25,1525
316,201804051526,1317,A4,B8,C2,D77,E359,0,True,4,5,15,26,1526
317,201804051528,1317,A4,B8,C2,D77,E359,0,True,4,5,15,28,1528
318,201804051530,1317,A4,B8,C2,D77,E359,0,True,4,5,15,30,1530
319,201804051531,17,A4,B8,C2,D54,E359,1,False,4,5,15,31,1531
320,201804051542,124,A4,B8,C2,D54,E359,1,True,4,5,15,42,1542
321,201804051544,5,A4,B8,C2,D25,E359,1,False,4,5,15,44,1544
322,201804051544,124,A4,B8,C2,D54,E359,0,True,4,5,15,44,1544
323,201804051545,387,A7,B8,C2,D77,E359,0,False,4,5,15,45,1545
324,201804051554,71,A6,B8,C2,D77,E359,0,False,4,5,15,54,1554
325,201804051606,180,A4,B8,C2,D77,E359,0,True,4,5,16,6,1606
326,201804051607,180,A4,B8,C2,D77,E359,0,True,4,5,16,7,1607
327,201804051607,190,A4,B8,C2,D77,E359,0,True,4,5,16,7,1607
328,201804051608,190,A4,B8,C2,D77,E359,0,True,4,5,16,8,1608
329,201804051611,127,A4,B8,C43,D54,E359,0,True,4,5,16,11,1611
330,201804051612,1456,A4,B8,C2,D31,E359,1,False,4,5,16,12,1612
331,201804051612,127,A4,B8,C43,D54,E359,0,True,4,5,16,12,1612
332,201804051613,1456,A4,B8,C2,D31,E359,0,False,4,5,16,13,1613
333,201804051616,187,A7,B8,C43,D77,E359,1,True,4,5,16,16,1616
334,201804051617,187,A7,B8,C43,D77,E359,0,True,4,5,16,17,1617
335,201804051619,187,A7,B8,C43,D77,E359,0,True,4,5,16,19,1619
336,201804051620,843,A7,B8,C2,D77,E359,1,True,4,5,16,20,1620
337,201804051622,843,A7,B8,C2,D77,E359,0,True,4,5,16,22,1622
338,201804051626,56,A6,B8,C2,D77,E359,1,True,4,5,16,26,1626
339,201804051626,843,A7,B8,C2,D77,E359,0,True,4,5,16,26,1626
340,201804051627,139,A6,B8,C2,D77,E359,0,True,4,5,16,27,1627
341,201804051627,56,A6,B8,C2,D77,E359,0,True,4,5,16,27,1627
342,201804051628,139,A6,B8,C2,D77,E359,0,True,4,5,16,28,1628
343,201804051630,843,A7,B8,C2,D77,E359,0,True,4,5,16,30,1630
344,201804051631,843,A7,B8,C2,D77,E359,0,True,4,5,16,31,1631
345,201804051634,1,A4,B8,C47,D77,E359,1,False,4,5,16,34,1634
346,201804051634,843,A7,B8,C2,D77,E359,0,True,4,5,16,34,1634
347,201804051636,1456,A4,B8,C2,D31,E359,0,False,4,5,16,36,1636
348,201804051646,1,A6,B8,C2,D77,E359,1,False,4,5,16,46,1646
349,201804051655,479,A4,B8,C2,D77,E359,1,False,4,5,16,55,1655
350,201804051655,561,A4,B8,C2,D54,E359,0,True,4,5,16,55,1655
351,201804051700,479,A4,B8,C2,D77,E359,0,False,4,5,17,0,1700
352,201804051703,479,A4,B8,C2,D77,E359,0,False,4,5,17,3,1703
